bin	uvdist_klambda	scales_arcsec	V_re	V_im	power
0	39.35248143394071	5.241468866285956	4.745269789039836	0.09753809608438097	22.527099050961933
1	63.73657960437842	3.2362076460238365	4.13418510740143	-0.19024025765006458	17.12767785789054
2	86.95953024289051	2.3719632071489922	3.6004820459062725	-0.031476933402549374	12.964461760229845
3	110.18248088140263	1.872029061218127	2.9268069814044355	-0.0650197886443482	8.5704266793131
4	133.4054315199147	1.546149987276232	2.1824766805661753	0.0852414973121911	4.770470574079176
5	156.6283821584268	1.3169056808520387	1.4671579475121184	-0.023609619798306156	2.153109857094992
6	179.8513327969389	1.1468628174136446	0.8218148061929209	0.0006846362393772499	0.6753800444046885
7	203.074283435451	1.0157111120013356	0.25750230132988033	0.017781010914134806	0.06662359953931307
8	226.2972340739631	0.9114773633498352	-0.18905524906660498	-0.013422268259641587	0.035922044484869825
9	249.5201847124752	0.8266457741075236	-0.4507226770205567	-0.004653754066798679	0.2031725890074913
10	272.7431353509873	0.7562603032397446	-0.6005341872407085	0.017528649081246607	0.3609485635834718
11	295.9660859894994	0.6969204108555006	-0.6195757340092894	0.0032904107045915467	0.38388491697575466
12	319.1890366280115	0.6462151971951373	-0.48319504062030655	0.00021094320073841624	0.23347749177709365
13	342.4119872665236	0.602387807429609	-0.36463731574424857	-0.019641921557542238	0.13334617711564345
14	365.6349379050357	0.5641277264938733	-0.23897838161464022	0.013814777978453124	0.057301514969746566
15	388.8578885435478	0.5304374999814282	-0.053191412748794145	0.01514562530566693	0.0030587163561122386
16	412.0808391820599	0.500544520964653	0.07877834213859963	0.01383797967887647	0.00639751687169926
17	435.303789820572	0.47384105323805414	0.1757633414461121	-0.0181659626633038	0.031222754395787138
18	458.52674045908407	0.44984248037656616	0.20029687947680808	0.0011679347676737063	0.04012020399976852
19	481.7496910975962	0.42815763052624317	0.2321170531026706	-0.03577605330099587	0.05515825233086371
20	504.9726417361083	0.4084672895108791	0.1429948305501348	0.01935882136244622	0.020822285528604868
21	528.1955923746204	0.39050838216916417	0.08597110534134646	-0.017869109735742617	0.0077103360363609
22	551.4185430131324	0.3740621509026475	0.0339914216682359	0.011319806845696726	0.0012835547740516992
23	574.6414936516446	0.35894520066129587	-0.04434753166771913	-0.01971440244533809	0.002355361228796104
24	597.8644442901566	0.3450026309759802	-0.09555273619461256	0.019240657932011653	0.009500528311933905
25	621.0873949286688	0.3321027087834968	-0.14118844075762307	0.014844973863018748	0.020154549052562552
26	644.3103455671809	0.3201326932994118	-0.11052134103167943	0.0242424535926056	0.012802663379630423
27	667.533296205693	0.30899553238695404	-0.1513253697983543	-0.001236420823131147	0.022900896281060547
28	690.7562468442052	0.2986072253265019	-0.09544503573085801	0.020479528398912004	0.009529165929106605
29	713.9791974827172	0.2888947002578311	-0.055240851830704416	-0.006595223730532262	0.003095048687037615
30	737.2021481212294	0.2797940928044842	0.032076186940932803	-0.0037270463630264465	0.0010427726432618168
31	760.4250987597413	0.27124934011714724	0.038281056914878236	0.004898982701328847	0.0014894393500280662
32	783.6480493982535	0.2632110249052271	0.13379598292472475	-0.04044151365340699	0.01953688107337194
33	806.8710000367655	0.25563541909140103	0.1177537425046897	-0.04321382330304782	0.015733378398327804
34	830.0939506752777	0.248483687996161	0.0768657754334031	-0.01754292322328486	0.006216101588196423
35	853.3169013137897	0.24172122447068084	0.07724575638964648	0.00250877535531155	0.005973200833992029
36	876.5398519523019	0.23531708887814554	0.027818091651082993	-0.03549278386815101	0.0020335839298193338
37	899.762802590814	0.22924353579984527	0.010932664577719095	0.0052444063789355375	0.00014702695303633358
38	922.9857532293261	0.22347561219165163	-0.08402973423999727	0.012731486355874113	0.007223086981274378
39	946.2087038678383	0.21799081471555182	-0.0518798986390774	0.018590762495803638	0.0030371403329763247
40	969.4316545063502	0.21276879632337736	-0.01744769517912864	-0.022328823934941035	0.0008029984453813846
41	992.6546051448624	0.2077911140270137	-0.024733427735940172	-0.0002581628513477684	0.0006118090956267906
42	1015.8775557833745	0.20304101126443252	-0.07062065768396515	-0.004629863026629312	0.005008712923361135
43	1039.1005064218866	0.1985032294492507	-0.07302456443201294	0.03254676771376122	0.006391879099098739
44	1062.3234570603986	0.19416384423804467	-0.024098499862338738	-0.005236675360036124	0.0006081604644415496
45	1085.5464076989108	0.19001012281393537	0.041575952868287594	-0.018837742876233153	0.002083420413577144
46	1108.769358337423	0.18603039910517208	0.009339313209531897	-0.049372582590977154	0.0025248746829285972
47	1131.992308975935	0.182213964363146	0.049245147586984304	0.02083614412145572	0.0028592294627139397
48	1155.215259614447	0.17855097093847017	0.04140305704593654	-0.04199466499021107	0.0034777650203891342
49	1178.4382102529592	0.17503234743450855	0.06459442731899835	-0.0464777672725703	0.006332622891312568
50	1201.6611608914714	0.1716497236992128	-0.006713361799707034	-0.025495512652013642	0.0006950903920427534
51	1224.8841115299833	0.16839536434957447	-0.03812220804337979	0.042272029828581255	0.0032402272519311943
52	1248.1070621684953	0.16526210971735572	0.03106194422469342	0.03738468911125577	0.0023624593589632106
53	1271.3300128070077	0.162243323267165	-0.0558134448201688	0.0031356771709820587	0.003124973094014645
54	1294.5529634455197	0.15933284467412742	-0.06532539317623666	-0.06324855903650133	0.0082677872138237
55	1317.7759140840317	0.15652494786298188	-0.06792060246870582	0.001267567155606137	0.004614814966205938
56	1340.9988647225439	0.1538143034071644	-0.022801642893666995	-0.0025677352828979167	0.0005265081831333534
57	1364.221815361056	0.15119594476834117	0.001535650168979669	-0.008199889531334385	6.959640976757453e-05
58	1387.444765999568	0.14866523792642322	-0.007739192651641974	0.007295687919918237	0.00011312216512407002
59	1410.66771663808	0.14621785400935458	-0.04246215505860581	-0.017846140825892066	0.0021215193545986544
60	1433.8906672765922	0.1438497445825893	0.009736508461572136	0.038145748162162214	0.0015498976998733678
61	1457.1136179151044	0.1415571193015327	0.014348775680654562	0.014853298685078009	0.0004265078453618839
62	1480.3365685536164	0.13933642566746174	0.05114891367916154	0.05121014229000425	0.0052386900439208
63	1503.5595191921284	0.13718433065950306	0.0795572418509657	-0.04545753780974372	0.008395742474657329
64	1526.7824698306408	0.1350977040429187	-0.03947623076939332	0.01788751925979197	0.0018783361410278246
65	1550.0054204691528	0.13307360317789374	0.029450342943399703	-0.006570710479482762	0.0009104969356890373
66	1573.2283711076648	0.1311092591737786	0.08330326373080131	0.0017017106347081649	0.006942329567287716
67	1596.451321746177	0.12920206425178482	-0.09615533317608085	0.09060099517691966	0.017454388425251335
68	1619.6742723846892	0.12734956019484536	0.05784046246832896	-0.015340096905652467	0.0035808376716249795
69	1642.8972230232011	0.12554942777706762	-0.020919616499298552	0.04563809839050835	0.002520466379179445
70	1666.1201736617131	0.12379947707720158	-0.032582606203855974	-0.06661509210801518	0.005499196723594901
71	1689.3431243002253	0.12209763859105721	0.0668906839954181	-0.04346702622598373	0.006363745974305241
72	1712.5660749387375	0.12044195506703292	0.04657924644991	-0.006929830321053324	0.002217648748120044
73	1735.7890255772495	0.1188305739970337	0.09539115812064795	-0.008472666923976309	0.009171259132403102
74	1759.0119762157615	0.117261740702211	0.043924532034258425	0.1402496203984493	0.021599320536337716
75	1782.234926854274	0.11573379195926946	0.07771456508421513	0.1350231925490035	0.024270816152353984
76	1805.4578774927859	0.11424515011866875	-0.06955463025066226	0.11439300767638666	0.0179236067945562
77	1828.6808281312979	0.1127943176709931	0.015303716377623679	0.07903363400578574	0.0064805190391272385
78	1851.90377876981	0.11137987222214901	-0.03171092477801335	-0.04933257121723893	0.0034392853331807714
79	1875.1267294083223	0.1100004618419477	0.1367443100836799	-0.03355286440689883	0.01982480105016934
80	1898.3496800468342	0.108654800754099	0.015270591414776167	0.1817684548111384	0.0332729621265859
81	1921.5726306853462	0.10734166533873359	0.15715807733367693	-0.036413836011340454	0.026024628724278773
82	1944.7955813238584	0.1060598904213306	0.06336419853136749	-0.008516223878653292	0.004087547724673898
83	1968.0185319623706	0.10480836582439268	-0.09556084820857112	-0.21881733814495877	0.0570129031831868
84	1991.2414826008826	0.10358603316041871	-0.2439813645072455	-0.23890136481507943	0.11660076833732506
85	2014.4644332393946	0.10239188284670216	0.0828018650455278	0.14414472567721698	0.027633850795577935
86	2037.687383877907	0.1012249513242583	-0.47255802483381704	-0.5008448111341305	0.47415661167482126
87	2060.910334516419	0.10008431846477941	-0.1839598148259411	0.11231269991968792	0.04645535603404441
88	2084.133285154931	0.0989691051509515	-0.2818350532588623	0.12829896153808043	0.09589162077717561
89	2107.3562357934434	0.0978784710167597	-0.1254216049005946	-0.03999946063753157	0.017330535827134293
90	2130.5791864319553	0.09681161233557552	0.013506953400634071	0.05011631709111034	0.002694083028943619
91	2153.8021370704673	0.0957677600448717	-0.1088828854352356	0.061317307020233955	0.015615294880916272
92	2177.0250877089793	0.09474617789736259	-0.18422130429906008	0.09022123389278393	0.042077360002783316
93	2200.2480383474913	0.09374616072922975	0.18116171946849619	0.03638863770209785	0.03414370155459665
94	2223.4709889860037	0.09276703283687178	0.04553521693311484	0.3319803248991156	0.1122843921012682
95	2246.6939396245157	0.09180814645432696	0.15777461965596548	0.22379844773005278	0.07497857581396573
96	2269.916890263028	0.09086888032415817	-0.10940817982419519	0.05472364632668667	0.014964827279731719
97	2293.13984090154	0.08994863835517508	0.20230883279533246	-0.2751334196392611	0.11662726242940352
98	2316.362791540052	0.08904684836089927	0.16735994021750028	0.11676923114783992	0.04164440293246294
99	2339.585742178564	0.08816296087316199	0.2756895389088806	-0.06106992492744826	0.07973425759443535
